"Year","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80+"
1950,165517,131663,127237,116996,109487,97748,83675,82314,74447,64281,55020,46091,39025,30044,20847,12591,8635
1955,197440,153531,128570,124676,113877,106135,94756,80490,78715,70385,60862,50734,41138,32678,22884,13925,9839
1960,211131,185033,150438,126252,121795,110900,103361,92069,76961,75223,66870,56738,45825,35023,25521,15723,11496
1965,234114,199594,181265,148030,123672,119052,108113,100483,88978,73508,71481,62788,51401,39402,27886,18036,13572
1970,253936,224796,196970,179065,145651,121200,116605,105509,97770,86329,70365,67611,57811,45491,32377,20291,16544
1975,264607,244697,221874,194459,176427,143429,119359,114504,103124,95091,83349,66787,62667,51657,37905,24279,20280
1980,266821,256424,242199,219906,192277,174136,141685,117326,112335,100644,92048,79684,62265,56548,43698,29258,24953
1985,289186,259518,254190,240326,217640,189973,172147,139775,115303,109744,97526,88031,74438,56096,48089,33901,30843
1990,313531,282263,257781,252658,237793,215071,188242,170098,137766,112879,106534,93462,82658,67533,47746,37733,37455
1995,302731,307370,280855,255847,249715,235364,213355,186288,167888,134974,109891,102294,87851,75121,58047,37525,43777
2000,292396,297342,305895,279268,253022,247068,233260,211267,183831,165144,131836,105842,96594,80264,64917,46259,47022
2005,296869,288096,296314,304384,276674,250728,244140,230235,208144,180143,161310,127424,100257,88520,70066,52353,56339
2010,309914,293346,286596,293929,301595,275001,247874,241470,227033,205143,176319,156326,120545,92710,77986,57157,67806
